,compound,create_date,negative,neutral,news_media,positive,tweets_ago
34,0.0,2018-07-01 19:00:06+00:00,0.0,1.0,CNN,0.0,-34
35,-0.3612,2018-07-01 18:45:05+00:00,0.116,0.884,CNN,0.0,-35
36,0.5574,2018-07-01 18:30:04+00:00,0.0,0.66,CNN,0.34,-36
37,0.3089,2018-07-01 18:15:05+00:00,0.0,0.861,CNN,0.139,-37
38,-0.296,2018-07-01 18:00:06+00:00,0.091,0.909,CNN,0.0,-38
39,0.5719,2018-07-01 17:45:08+00:00,0.0,0.73,CNN,0.27,-39
40,0.0,2018-07-01 17:30:12+00:00,0.0,1.0,CNN,0.0,-40
41,-0.7771,2018-07-01 17:15:07+00:00,0.342,0.658,CNN,0.0,-41
42,-0.4588,2018-07-01 17:00:22+00:00,0.273,0.727,CNN,0.0,-42
43,0.0,2018-07-01 16:45:09+00:00,0.0,1.0,CNN,0.0,-43
44,0.6486,2018-07-01 16:30:05+00:00,0.0,0.773,CNN,0.227,-44
45,0.0,2018-07-01 16:15:04+00:00,0.0,1.0,CNN,0.0,-45
46,-0.7003,2018-07-01 16:00:14+00:00,0.293,0.707,CNN,0.0,-46
47,-0.34,2018-07-01 15:47:04+00:00,0.167,0.833,CNN,0.0,-47
48,0.5574,2018-07-01 15:37:03+00:00,0.0,0.806,CNN,0.194,-48
49,-0.4939,2018-07-01 15:34:47+00:00,0.151,0.849,CNN,0.0,-49
50,0.2023,2018-07-01 15:27:14+00:00,0.0,0.886,CNN,0.114,-50
51,-0.296,2018-07-01 15:00:26+00:00,0.196,0.804,CNN,0.0,-51
52,0.5574,2018-07-01 14:30:19+00:00,0.0,0.603,CNN,0.397,-52
53,0.6908,2018-07-01 14:01:07+00:00,0.0,0.711,CNN,0.289,-53
54,0.0,2018-07-01 13:45:10+00:00,0.0,1.0,CNN,0.0,-54
55,0.0,2018-07-01 13:31:00+00:00,0.0,1.0,CNN,0.0,-55
56,0.0,2018-07-01 13:30:59+00:00,0.0,1.0,CNN,0.0,-56
57,0.0,2018-07-01 13:30:10+00:00,0.0,1.0,CNN,0.0,-57
58,0.0,2018-07-01 13:24:33+00:00,0.0,1.0,CNN,0.0,-58
59,0.122,2018-07-01 13:15:39+00:00,0.115,0.75,CNN,0.134,-59
60,0.7906,2018-07-01 13:08:52+00:00,0.0,0.72,CNN,0.28,-60
61,0.0,2018-07-01 13:01:07+00:00,0.0,1.0,CNN,0.0,-61
62,0.3612,2018-07-01 12:31:01+00:00,0.0,0.884,CNN,0.116,-62
63,-0.6597,2018-07-01 12:30:12+00:00,0.268,0.732,CNN,0.0,-63
64,0.0,2018-07-01 12:01:04+00:00,0.0,1.0,CNN,0.0,-64
65,0.5859,2018-07-01 11:31:00+00:00,0.0,0.847,CNN,0.153,-65
